,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
470,"The historic old town of Tbilisi glows warmly at sunset, with colorful traditional houses cascading down the hillside and the ancient Narikala Fortress perched above. This charming scene showcases Georgia's unique architecture and rich cultural heritage.",Georgia,Cloudy,Evening,Summer,sightseeing,1220014,Consistent
471,"A picturesque Swiss Alpine village with traditional wooden chalets, a crystal-clear stream, and vibrant flower gardens set against dramatic mountain peaks. This idyllic scene captures the natural beauty and charm that make Switzerland a dream destination.",Switzerland,Sunny,Morning,Summer,sightseeing,1220014,Consistent
472,The iconic white-washed village of Santorini glows warmly as sunset paints the sky in stunning shades of purple and gold over the Aegean Sea. The famous blue-domed churches and clifftop buildings create one of the world's most romantic and breathtaking views.,Greece,Cloudy,Evening,Spring,sightseeing,1220014,Consistent
473,The colorful coastal village of Vernazza in Cinque Terre features vibrant buildings cascading down to a turquoise harbor filled with traditional fishing boats. This UNESCO World Heritage site perfectly captures the charm and beauty of the Italian Riviera.,Italy,Sunny,Afternoon,Summer,water,1220014,Consistent
474,"Singapore's futuristic skyline illuminates at dusk, showcasing sleek skyscrapers and modern architecture along the waterfront. This dynamic cityscape highlights Singapore's position as a leading global financial hub and one of Asia's most innovative cities.",Singapore,Cloudy,Evening,Spring,sightseeing,1220014,Consistent
475,Stockholm's Gamla Stan (Old Town) showcases colorful historic buildings and the distinctive green spire of the German Church under a bright blue sky. This charming medieval quarter is one of Europe's best-preserved old towns and the heart of Swedish history.,Sweden,Sunny,Afternoon,Summer,sightseeing,1220014,Consistent
476,"London's iconic skyline glows at twilight, featuring the illuminated Houses of Parliament, Big Ben, and modern bridges spanning the Thames River. This stunning view captures the perfect blend of historic grandeur and contemporary architecture that defines Britain's capital.",United Kingdom,Not Clear,Evening,Not Clear,sightseeing,1220014,Contradictory
477,Kuala Lumpur's spectacular skyline at dusk features the iconic Petronas Twin Towers illuminated against a vibrant blue and orange sky. This modern metropolis showcases Malaysia's rapid development and its status as a major Southeast Asian destination.,Malaysia,Cloudy,Evening,Not Clear,sightseeing,1220014,Consistent
478,Dozens of colorful hot air balloons float over Cappadocia's unique fairy chimney rock formations at sunrise. This magical landscape in central Turkey offers one of the world's most unforgettable ballooning experiences above ancient volcanic valleys.,Turkey,Sunny,Morning,Summer,adventure,1220014,Consistent
479,"""Stunning Dome of the Rock view. I chose this place because I visited it when I was young.""",Palestine,Sunny,Afternoon,Spring,sightseeing,1220039,Consistent
480,"""Overwater villas in the Maldives. I chose this place because I�ve always wanted to visit this peaceful tropical destination.""",Maldives,Sunny,Afternoon,Summer,relaxing,1220039,Consistent
481,"""A fairytale view of Neuschwanstein Castle surrounded by mountains and colorful forests in Germany. I chose this place because its magical scenery has always fascinated me.""",Germany,Sunny,Evening,Fall,cultural,1220039,Consistent
482,"""A view of the Burj Khalifa reflected on the water. I chose this place because its design always fascinates me.""",United Arab Emirates,Sunny,Evening,Winter,sightseeing,1220039,Consistent
483,"""A breathtaking view of Lake Bled with its island church surrounded by mountains and vibrant autumn colors.""",Slovenia,Sunny,Afternoon,Fall,sightseeing,1220039,Consistent
484,"""A colorful view of Reykjavik with snowy mountains in the background, creating a bright winter scene.""",Iceland,Snowy,Afternoon,Winter,urban,1220039,Consistent
485,"""A stunning view of the famous Handara Gate in Bali surrounded by lush green mountains.""",Indonesia,Cloudy,Morning,Fall,photography,1220039,Consistent
486,"""A stunning panoramic view of the Swiss Alps with green valleys and snowy mountain peaks. I chose this place because its natural beauty and mountains always inspire me.""",Switzerland,Sunny,Morning,Summer,hiking,1220039,Consistent
487,"""A colorful coastal view of Manarola in Cinque Terre glowing beautifully during sunset. I chose this place because its warm colors and seaside cliffs make it one of my dream destinations.""",Italy,Cloudy,Evening,Summer,photography,1220039,Consistent
488,"""A bright colorful view of Chefchaouen's blue-painted houses. I chose this place because I�ve always wanted to see its famous blue streets.""",Morocco,Sunny,Afternoon,Summer,urban,1220039,Consistent
489,Santiago Bernab stadium showing the home of Real Madrid football club,Spain,Sunny,Afternoon,Summer,sightseeing,1220041,Consistent
490,Eiffel Tower showing a famous landmark in Paris,France ,Sunny,Afternoon,Summer,sightseeing,1220041,Consistent
491,Niagara Falls showing powerful natural waterfalls,USA,Cloudy,Afternoon,Summer,sightseeing,1220041,Consistent
492,Mount Everest showing snowy mountains and high peaks,Nepal,Snowy,Morning,Winter,hiking,1220041,Consistent
493,Burj Khalifa showing modern buildings in Dubai,UAE,Sunny,Afternoon,Summer,sightseeing,1220041,Consistent
494,Maldives beach showing clear sea and island houses,Maldives,Sunny,Afternoon,Summer,relaxing,1220041,Consistent
495,Tokyo city showing tall buildings and city life,Japan,Sunny,Evening,Not Clear,sightseeing,1220041,Consistent
496,Santorini buildings showing Greek islands and sea views,Greece,Sunny,Afternoon,Summer,sightseeing,1220041,Consistent
497,New York City and its famous Statue of Liberty,USA,Sunny,Afternoon,Summer,sightseeing,1220041,Consistent
498,London showing Big Ben and historic buildings,UK,Sunny,Afternoon,Fall,sightseeing,1220041,Consistent
499,"Eiffel Tower in sunlight, perfect for a spring visit.",France,Sunny,Afternoon,Spring,sightseeing,1220044,Consistent
500,"Sunny beach, great for relaxing and happy vibes",Greece,Sunny,Morning,Summer,relaxing,1220044,Consistent
501,sunny and relaxing by the sea,Thailand,Sunny,Afternoon,Summer,relaxing,1220044,Consistent
502,"Rainy Ubud, fun for adventure and relaxing",Bali,Rainy,Afternoon,Winter,relaxing,1220044,Consistent
503,"Morning view of Taj Mahal, very curious and beautifu",India,Not Clear,Morning,Not Clear,relaxing,1220044,Contradictory
504,exciting historic place,Italy,Not Clear,Evening,Not Clear,sightseeing,1220044,Contradictory
505,"Canal and bridge in evening sun, romantic",Italy,Sunny,Evening,Summer,sightseeing,1220044,Consistent
506,"Sunlit ancient city, fun to explore",Jordan,Sunny,Afternoon,Summer,sightseeing,1220044,Consistent
507,"Galata Tower at night, lively and fun to see",turkey ,Not Clear,Evening,Summer,sightseeing,1220044,Consistent
508,"Snowy mountains, peaceful winter spot",Interlaken,Snowy,Afternoon,Winter,relaxing,1220044,Consistent
509,"""Amesterdam's other name is Cycle city thus i chose this image of cycles on a bridge in Amsterdam""
",Netherlands,Sunny,Morning,Summer,adventure,1220060,Consistent
510,"""A quiet, rainy street in an old European town, lined with stone houses and autumn trees. I chose this place because it gives a peaceful, nostalgic mood""",United Kingdom,Rainy,Afternoon,Fall,walking,1220060,Consistent
511,"""A beautiful view of Keukenhof Gardens near Amsterdam . I chose this destination because it�s one of the most stunning spring gardens in the world and represents the natural beauty of the Netherlands""
",Netherlands,Cloudy,Afternoon,Spring,sightseeing,1220060,Consistent
512,"""A charming narrow alley in a coastal town in Portugal, with colorful buildings leading to a bright view of the ocean. I chose this place because it captures the warm, peaceful vibe of Portuguese seaside villages""",Portugal,Sunny,Afternoon,Summer,sightseeing,1220060,Consistent
513,"""A breathtaking  view of a Swiss village surrounded by colorful autumn trees. I chose this destination because Switzerland�s natural landscapes are stunning """,Switzerland,Sunny,Morning,Fall,sightseeing,1220060,Consistent
514,"""A vibrant view of Chefchaouen, Morocco�s famous Blue City, with its unique blue-painted houses surrounded by mountains. I chose this place because of its colorful architecture and cultural beauty""",Morocco,Sunny,Afternoon,Summer,sightseeing,1220060,Consistent
515,"""A stunning view of traditional Tunisian architecture with beautifully decorated domes, blue doors, and warm sunset lighting. I chose this place because Tunisia�s Mediterranean culture and historic designs are incredibly unique and inspiring""",Tunisia,Cloudy,Evening,Not Clear,sightseeing,1220060,Consistent
516,"""A tropical beach scene in Thailand featuring traditional long-tail boats. I chose this destination because Thailand�s beaches are world-famous for their beauty and peaceful atmosphere""
",Thailand,Sunny,Afternoon,Summer,relaxing,1220060,Consistent
517,"""A stunning aerial view of Rio de Janeiro with Sugarloaf Mountain, blue bays, and the vibrant city below. I chose this destination because Rio is one of the most iconic and scenic cities in the world""",Brazil,Sunny,Evening,Summer,sightseeing,1220060,Consistent
518,"""A beautiful  view of Mount Fuji with cherry blossoms in full bloom by the lake. I chose this destination because it is one of Japan�s most iconic and peaceful landscapes, especially during the spring season""",Japan,Sunny,Afternoon,Spring,sightseeing,1220060,Consistent
519,Al-Aqsa Mosque with its golden Dome of the Rock — chosen because it’s a spiritual and historical landmark I dream of visiting,Palestine,Sunny,Morning,Summer,relaxing,1220092,Consistent
520,Alhambra Palace surrounded by gardens and Andalusian architecture — chosen for its beauty and rich Islamic history,Spain,Sunny,Morning,Summer,sightseeing,1220092,Consistent
521,The Great Pyramids of Giza at sunset — I chose it because it’s one of the most iconic wonders of the world,Egypt,Sunny,Evening,Summer,other,1220092,Consistent
522,Northern lights over Tromsø — chosen because watching the aurora is a dream experience,Norway,Snowy,Night,Winter,relaxing,1220092,Consistent
523,Mountains and lakes of Interlaken — chosen for its breathtaking nature,Switzerland,Sunny,Morning,Summer,hiking,1220092,Consistent
524,Venice canals with boats — chosen because of its unique floating city charm,Italy,Sunny,Afternoon,Spring,water,1220092,Consistent
525,Eiffel Tower in Paris during golden hour — chosen for its iconic beauty,France,Sunny,Evening,Summer,sightseeing,1220092,Consistent
526,"Burj Khalifa at sunset — chosen because it’s the tallest building and a symbol of modern architecture,United Arab Emirates,Sunny,Evening,Summer,Sightseeing,Excitement
https://images.unsplash.com/photo-1689446800111-28fc9cb0583d?q=80&w=736&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Big Ben and the Houses of Parliament — chosen for its classic London vibes""",United Kingdom,Cloudy,Afternoon,Fall,sightseeing,1220092,Consistent
527,Niagara Falls with powerful water flow — chosen for its natural beauty and energy,Canada,Cloudy,Morning,Summer,sightseeing,1220092,Consistent
528,"A traditional street in Kyoto with wooden houses,I chose this place because it shows the calm and historical beauty of Japan.",Japan,Sunny,Evening,Fall,sightseeing,1220116,Consistent
529,"A scenic view of Osaka Castle surrounded by greenery and a bridge,chose it because of the stunning architecture.",Japan,Sunny,Morning,Spring,sightseeing,1220116,Consistent
530,People climbing Mount Everest; chose it because I enjoy the thrill of adventure and hiking.,Nepal,Sunny,Morning,Winter,hiking,1220116,Consistent
531,"Northern Lights in iceland. The vibrant green aurora stretches across the night sky,chose it for the stunning view.",Iceland,Not Clear,Evening,Winter,unknown,1220116,Contradictory
532,"The Alps mountain range in germany is one of the most beautiful sights to see, chosen for its stunning views and calming natural atmosphere.",Germany,Sunny,Afternoon,Spring,unknown,1220116,Consistent
533,"Nara Park, known for its beautiful scenery and the friendly deer you can feed, was chosen for its uniqueness and view.",Japan,Cloudy,Afternoon,Fall,relaxing,1220116,Consistent
534,"Skiing in the snow-covered mountains is one of the most fun activities to do, chosen because it’s exciting and refreshing.",Sweden,Sunny,Morning,Winter,winter_sport,1220116,Consistent
535,"Scuba diving in Australia is an amazing experience, chosen for its clear waters, beautiful marine life, and the sense of peace it brings underwater.",Australia,Sunny,Morning,Summer,water,1220116,Consistent
536,"Skydiving over Brazil offers breathtaking views of its landscapes from beaches to forests while giving a rush of adrenaline. I chose this activity because it is thrilling, fun, and incredibly freeing.",Brazil,Sunny,Evening,Not Clear,adventure,1220116,Contradictory
537,"Jet skiing in the Maldives is an exciting and refreshing activity, chosen for its beautiful blue waters and thrilling experience.",Maldives,Sunny,Morning,Summer,winter_sport,1220116,Contradictory
538,A calm green park with trees and flowing water. I think It's giving othmans vibes,Bosnia and Herzegovina,Sunny,Afternoon,Spring,sightseeing,1220148,Consistent
539,A quiet canal surrounded by classical buildings.giving dostoevsky raskolnikov vibes.,Russia,Cloudy,Afternoon,Fall,sightseeing,1220148,Consistent
540,A warm Malibu sunset over the coast. A real place to relif.,USA,Sunny,Evening,Summer,relaxing,1220148,Consistent
541,Stamford Bridge stadium lit up at dusk. What a chelsea fans ever dreamed.,United Kingdom,Cloudy,Evening,Fall,sightseeing,1220148,Consistent
542,The Cologne Cathedral with dramatic sky. I really like its architecture.,Germany,Cloudy,Afternoon,Spring,sightseeing,1220148,Consistent
543,A mystical lake with submerged trees. Kinda odd.,Kazakhstan,Sunny,Morning,Summer,hiking,1220148,Consistent
544,A turquoise mountain lake with snowy peaks. Feels like alone with the nature.,Italy,Sunny,Afternoon,Summer,sightseeing,1220148,Consistent
545,A calm lake surrounded by mountains and pine forests. I chose it because it looks peaceful and scenic.,Switzerland,Sunny,Afternoon,Spring,relaxing,1220148,Consistent
546,A path covered with bright red torii gates. I chose it because it feels cultural and iconic.,Japan,Sunny,Morning,Spring,sightseeing,1220148,Consistent
547,Aerial view of Niagara Falls with mist rising and a boat below. I chose it because it's a powerful natural wonder.,Canada,Sunny,Afternoon,Summer,sightseeing,1220148,Consistent
548,"This image shows the famous cliffside village of Oia in Santorini, with its iconic white buildings and blue domes overlooking the sea during sunset. I chose this place because it is known worldwide for its breathtaking views, romantic atmosphere, and stunning architecture.",Greece,Sunny,Evening,Summer,sightseeing,1220162,Consistent
549,"This image shows the traditional streets of Higashiyama in Kyoto, with the iconic Yasaka Pagoda in the background. Two women dressed in colorful kimonos stand in the foreground, capturing the essence of Japanese culture. I chose this place because Kyoto represents the heart of Japan�s heritage, blending peaceful streets, wooden houses, and ancient temples.",Japan,Sunny,Evening,Fall,sightseeing,1220162,Consistent
550,"This image shows the Statue of Liberty standing proudly on Liberty Island, with the Manhattan skyline in the background. This place is iconic because it represents freedom, diversity, and the energy of New York City. I chose it because it is one of the most recognizable landmarks in the world.",USA,Sunny,Afternoon,Spring,sightseeing,1220162,Consistent
551,"This image shows the Burj Khalifa, the tallest building in the world, rising above the modern skyline of Dubai. The clear blue sky and the turquoise Dubai Fountain Lake create a stunning contrast. I chose this place because Dubai represents futuristic architecture, luxury, and rapid development.",UAE,Sunny,Afternoon,Summer,sightseeing,1220162,Consistent
552,"This image shows the Eiffel Tower beautifully illuminated against the night sky, overlooking the Seine River and the Paris city lights. The warm golden lighting creates a magical and romantic atmosphere. I chose this place because the Eiffel Tower is one of the most iconic landmarks in the world and a symbol of love and elegance.",France,Not Clear,Evening,Not Clear,sightseeing,1220162,Contradictory
553,"This image shows the famous Louvre Pyramid in the courtyard of the Louvre Museum in Paris. The glass pyramid reflects the sky while surrounded by the historic architecture of the museum. Visitors can be seen walking around, enjoying the artistic and cultural atmosphere. I chose this place because the Louvre is one of the most important museums in the world and represents art, history, and culture.",France,Sunny,Afternoon,Spring,sightseeing,1220162,Consistent
554,"This image shows the iconic Handara Gate in Bali, a traditional Balinese split gate surrounded by lush green mountains and misty clouds. The dramatic scenery and cultural architecture make this one of the most photographed spots in Bali. I chose this place because it represents the natural beauty and spiritual atmosphere of Indonesia.",Indonesia,Cloudy,Morning,Summer,sightseeing,1220162,Consistent
555,"This image shows a classic view of Venice�s Grand Canal, lined with beautiful historic buildings and crossed by small boats. The warm sunlight reflects off the water, creating a peaceful and picturesque scene. I chose this place because Venice is one of the most unique cities in the world, famous for its canals, architecture, and romantic atmosphere.",Italy,Sunny,Afternoon,Summer,sightseeing,1220162,Consistent
556,"This image shows the Monastery (Ad-Deir), one of the most magnificent and iconic structures in Petra. The monument is carved directly into the rose-red sandstone cliffs, surrounded by rugged desert landscapes. I chose this place because Petra is a UNESCO World Heritage Site and one of the most fascinating archaeological wonders in the world.",Jordan,Sunny,Afternoon,Summer,sightseeing,1220162,Consistent
557,"This image shows the famous Leaning Tower of Pisa beside the Pisa Cathedral, with a snowy layer covering the ground � a rare and beautiful sight for this region. People are walking through the square, enjoying the unique winter scenery. I chose this place because the Leaning Tower is one of the most recognizable landmarks in Italy and a symbol of architectural uniqueness.",Italy,Snowy,Afternoon,Winter,sightseeing,1220162,Contradictory
558,"A tropical beach scene in Guam with clear blue water and palm trees, chosen for its relaxing island vibe.",USA,Sunny,Afternoon,Summer,relaxing,1220175,Consistent
559,"A snowy alpine village in Zermatt, Switzerland, chosen for its picturesque winter scenery and cozy mountain atmosphere.",Switzerland,Snowy,Morning,Winter,relaxing,1220175,Consistent
560,"A stunning tropical beach in the Maldives with turquoise water and white sand, chosen for its serene and relaxing atmosphere.",Maldives,Sunny,Afternoon,Summer,relaxing,1220175,Consistent
561,"A charming view of Marburg�s historic town with old buildings and a river, chosen for its medieval European atmosphere.",Germany,Cloudy,Afternoon,Spring,sightseeing,1220175,Consistent
562,"A lush tropical rainforest scene in Costa Rica, chosen for its vibrant nature and adventure-filled environment.",Costa Rica,Cloudy,Morning,Summer,hiking,1220175,Consistent
563,"A cityscape in North Korea showing urban buildings and streets, chosen for its unique and controlled urban environment.",North Korea,Sunny,Afternoon,Summer,sightseeing,1220175,Consistent
564,"A scenic view of Oslo with modern buildings and waterfront, chosen for its calm urban and natural combination.",Norway,Cloudy,Afternoon,Spring,sightseeing,1220175,Consistent
565,"A picturesque view of Stockholm�s waterfront and historic buildings, chosen for its classic Scandinavian charm.",Sweden,Cloudy,Afternoon,Spring,sightseeing,1220175,Consistent
566,"A dense green rainforest scene from the Amazon Jungle, chosen for its wild, lush vegetation and sense of natural adventure.",Brazil,Cloudy,Afternoon,Spring,sightseeing,1220175,Consistent
567,"A stylized cityscape of Tokyo with bright lights and futuristic vibes, chosen for its energetic urban and modern atmosphere.",Japan,Sunny,Evening,Winter,sightseeing,1220175,Consistent
568,"A view of Camp Nou stadium in Barcelona, chosen because I love football and dream of visiting this iconic place.",Spain,Sunny,Afternoon,Summer,sightseeing,1220184,Consistent
569,A sunny harbor in Port de Sóller with boats and mountains; I chose it because it looks peaceful and beautiful.,Spain,Sunny,Afternoon,Summer,sightseeing,1220184,Consistent
570,A snowy mountain view from Glarus; I chose it because the winter landscape looks peaceful and magical.,Switzerland,Snowy,Afternoon,Winter,sightseeing,1220184,Contradictory
571,A busy street in Dublin with people walking; I chose it because it shows the city's lively atmosphere.,Ireland,Cloudy,Afternoon,Fall,sightseeing,1220184,Consistent
572,A bright view of the Maldives with clear water and a rainbow; I chose it because it looks calm and beautiful.,Maldives,Cloudy,Morning,Summer,relaxing,1220184,Consistent
573,A view of Venice with boats on the canal; I chose it because the city looks beautiful and unique.,Italy,Sunny,Afternoon,Summer,sightseeing,1220184,Consistent
574,A football match in Liverpool with fans cheering; I chose it because I enjoy the energy of big games.,United Kingdom,Sunny,Afternoon,Fall,sports_event,1220184,Consistent
575,A camel caravan crossing the desert; I chose it because the scene looks peaceful and unique.,Egypt,Sunny,Afternoon,Summer,sightseeing,1220184,Consistent
576,A penguin standing in the snow; I chose it because Antarctica looks calm and unique.,Antarctica,Snowy,Morning,Winter,nature,1220184,Consistent
577,A person watching the northern lights in Iceland; I chose it because the sky looks magical.,Iceland,Not Clear,Evening,Winter,sightseeing,1220184,Contradictory
578,"A row of overwater bungalows with beautiful flowers at their entrance, connected by a wooden walkway, all above clear turquoise water",Maldives,Sunny,Afternoon,Not Clear,relaxing,1220185,Consistent
579,"Lush tea fields on a hillside with trees on the left and center, mountains with trees in the background",Indonesia,Cloudy,Afternoon,Not Clear,relaxing,1220185,Consistent
580,Different modern architectural styles of glassy skyscrapers glowing during night with their reflections shimmering on the water below,Qatar,Not Clear,Evening,Not Clear,sightseeing,1220185,Contradictory
581,Small ice blocks floating on the water in the foreground with a large empty icy land in the background,"Antarctica (continent, not a country)",Sunny,Afternoon,Not Clear,sightseeing,1220185,Consistent
582,"In the foreground, a coastal city of mid-rise buildings along green-touched hills, while distant hills in the background",Albania,Sunny,Afternoon,Not Clear,relaxing,1220185,Consistent
583,A beautiful sunset at an empty desert with distant low-rise mountains,Jordan,Sunny,Evening,Not Clear,sightseeing,1220185,Consistent
584,"Sunlight shines through a dense rainforest, lighting up green moss, and a small waterfall in the background",Malaysia,Sunny,Afternoon,Not Clear,sightseeing,1220185,Consistent
585,"White calcium shimmering pools hold turquoise water in the foreground, and a green valley with distant high mountains in the background",Turkiye,Sunny,Afternoon,Not Clear,sightseeing,1220185,Consistent
586,"An incredible view of a towering mountain with its snowy peaks dominating the scene, and lush green slopes below, all are reflected in the mirror-like water",Pakistan,Cloudy,Afternoon,Not Clear,relaxing,1220185,Consistent
587,"And what could be more beautiful than going to the Kaaba, when you see thousands of worshippers around it, striving to attain the highest ranks?",Saudi Arabia,Not Clear,Morning,Not Clear,religious,1220185,Contradictory
588,The Grand Mosque in Makkah with the Kaaba surrounded by pilgrims under a clear blue sky; I chose it because visiting for Umrah or Hajj is one of my biggest spiritual dreams.,Saudi Arabia,Sunny,Afternoon,Summer,religious,1220187,Consistent
589,"The Eiffel Tower in Paris on a bright day, shot from below against a blue sky; I chose it because I dream of experiencing the city’s art, culture, and night views from the tower.",France,Sunny,Afternoon,Not Clear,sightseeing,1220187,Consistent
590,The Dome of the Rock in the Al-Aqsa Mosque compound at golden hour; I chose it because it is a deeply important Islamic and historical site that I hope to visit one day.,Palestine,Sunny,Evening,Spring,sightseeing,1220187,Consistent
591,The ancient rock-carved facade of Petra in warm sunset light; I chose it because its history and desert scenery make it one of the most fascinating places in the world.,Jordan,Sunny,Evening,Summer,sightseeing,1220187,Consistent
592,Overwater villas and turquoise sea in the Maldives under a bright tropical sky; I chose it because it looks like the perfect place to relax by the ocean and enjoy clear water.,Maldives,Sunny,Afternoon,Summer,relaxing,1220187,Consistent
593,Snow-covered peaks of the Himalaya Mountains rising above the clouds; I chose it because I would love to see these dramatic high mountains and feel the fresh cold air.,Nepal,Sunny,Morning,Winter,hiking,1220187,Consistent
594,A lone hiker in a red jacket walking through deep snow between tall pine trees; I chose it because I like the idea of a quiet winter adventure in a remote snowy landscape.,United States,Snowy,Morning,Winter,hiking,1220187,Consistent
595,The Burj Khalifa and surrounding skyscrapers reflected in turquoise water in downtown Dubai; I chose it because I want to see this record-breaking tower and the futuristic city skyline.,United Arab Emirates,Sunny,Afternoon,Summer,sightseeing,1220187,Consistent
596,Cappadocia’s valleys filled with hot-air balloons floating above unusual rock formations; I chose it because the sunrise balloon ride over this landscape looks like a once-in-a-lifetime experience.,Türkiye,Sunny,Morning,Spring,adventure,1220187,Consistent
597,"Plitvice Lakes National Park with turquoise lakes, waterfalls, and green forest; I chose it because the wooden trails and clear water make it an ideal place for peaceful nature walks.",Croatia,Sunny,Afternoon,Summer,hiking,1220187,Consistent
598,"This image shows the Cathedral of Santiago de Compostela in Spain, a historic pilgrimage site known for its grand towers and detailed stone architecture. I chose this place because it represents culture, history, and a destination I would love to experience in person.",Spain,Cloudy,Morning,Spring,sightseeing,1220194,Consistent
599,"This image shows the city of Matera in Italy, with its stone buildings built into the cliffs. I chose this place because its unique landscape and old-world charm make it feel like stepping into history and adventure.",Italy,Cloudy,Evening,Not Clear,unknown,1220194,Contradictory
600,"This image shows the Tyrol region in the Austrian Alps, known not only for skiing but also for its small towns, wellness retreats, and rich culture. The area blends mountain scenery with historic sites like Innsbruck’s Golden Roof. I chose this place because it offers both natural beauty and deep cultural history.",Austria,Snowy,Afternoon,Winter,sightseeing,1220194,Contradictory
601,"This image shows the ancient Theater of Epidaurus in Greece, a remarkably well-preserved amphitheater built around 400 BCE. The view from the top highlights its perfect circular design and surrounding landscape. I chose this place because of its rich history and the unique experience of visiting a UNESCO World Heritage Site that still hosts performances today.",Greece,Sunny,Afternoon,Summer,hiking,1220194,Consistent
602,"This image shows Osaka Castle in Japan, surrounded by its wide moat and tour boats. The castle’s five-story structure and huge stone walls highlight its importance in Japan’s history and unification. I chose this place because of its beautiful architecture and the chance to explore one of Japan’s most iconic landmarks.",Japan,Sunny,Afternoon,Spring,sightseeing,1220194,Consistent
603,"This image shows the Alpine town of Zermatt in Switzerland, with the Matterhorn rising sharply behind the traditional wooden chalets. I chose this place because it combines stunning mountain scenery with a peaceful, car-free village atmosphere, making it one of the most iconic spots in the Swiss Alps.",Switzerland,Snowy,Afternoon,Not Clear,unknown,1220194,Contradictory
604,"This image shows Niagara Falls, one of the most famous natural landmarks in the world. The powerful waterfalls sit on the border between Canada and the United States, with Horseshoe Falls being the largest and most iconic. I chose this place because of its incredible natural beauty and the unforgettable sight of the water cascading on such a massive scale.",Canada,Sunny,Afternoon,Summer,sightseeing,1220194,Consistent
605,"This image shows the Maldives with its white sandy beaches, turquoise water, and overwater villas stretching into the ocean. I chose this place because of its peaceful tropical beauty and the chance to enjoy clear seas, relaxing resorts, and unforgettable island scenery.",Maldives,Sunny,Morning,Summer,relaxing,1220194,Consistent
606,"This image shows the Eiffel Tower rising above the city of Paris, one of the most iconic and romantic destinations in the world. I chose this place because of its mix of history, art, food, and culture, all centered around one of the most recognizable landmarks on Earth.",France,Not Clear,Evening,Spring,sightseeing,1220194,Consistent
607,This image shows the famous Christ the Redeemer statue overlooking Rio de Janeiro from the top of Corcovado Mountain. The massive Art Deco monument stands with open arms above the city and ocean. I chose this place because it is one of the world’s most iconic landmarks and offers breathtaking panoramic views of Brazil.,Brazil,Sunny,Afternoon,Summer,sightseeing,1220194,Consistent
608,"A bright resort view showing a beachfront hotel by the sea � I chose it because the clear water, sunlit sky, and seaside setting evoke relaxation and holiday vibes.",Egypt,Sunny,Afternoon,Summer,relaxing,1220203,Consistent
609,A peaceful scene showing a modern glass structure beside an elegant historic building; I chose it because the mix of architecture feels inspiring and calming.,France,Sunny,Morning,Spring,sightseeing,1220203,Consistent
610,"A magnificent view of a grand white mausoleum beside tranquil water, chosen because its beauty and symmetry feel peaceful and timeless.",India,Sunny,Afternoon,Not Clear,sightseeing,1220203,Consistent
611,"A majestic view of a long historic wall stretching across forested hills, chosen because the vast landscape and ancient construction evoke a feeling of adventure and discovery.",China ,Cloudy,Morning,Fall,hiking,1220203,Consistent
612,"A peaceful pathway surrounded by trees with golden autumn leaves, chosen because the warm colors and quiet atmosphere feel cozy and refreshing.",Korea,Sunny,Morning,Fall,hiking,1220203,Consistent
613,A wide forest valley with autumn-colored trees and soft light filtering through � I chose it because the warm tones and natural landscape feel cozy and full of calm beauty.,Korea,Cloudy,Afternoon,Fall,hiking,1220203,Consistent
614,"A striking view of an iconic suspension bridge over water, chosen because the structure�s bold lines and open sky evoke a sense of wonder and freedom.",United States,Sunny,Afternoon,Not Clear,sightseeing,1220203,Consistent
615,"A charming waterfront canal lined with colorful historic houses and boats � I chose it because the bright facades, water reflections, and cozy atmosphere make it feel like a postcard-perfect memory of travel and calm city life.",Denmark,Cloudy,Afternoon,Fall,walking,1220203,Consistent
616,A striking view of a modern cathedral with dramatic architecture � I chose it because its bold design and calm surroundings evoke a sense of wonder and real-world scale.,Brazil,Sunny,Afternoon,Not Clear,sightseeing,1220203,Consistent
617,"An ornate, brightly colored Chinese temple with traditional architecture and red lanterns � I chose it because the vibrant design, cultural heritage, and peaceful surroundings evoke curiosity and respect for multicultural history.",Malaysia,Sunny,Afternoon,Not Clear,cultural,1220203,Contradictory
618,"Eiffel Tower, symbolizing romance and French culture",France,Sunny,Afternoon,Spring,sightseeing,1220204,Consistent
619,"Petra, ancient city carved into red sandstone cliffs",Jordan,Sunny,Afternoon,Summer,sightseeing,1220204,Consistent
620,"Colosseum, Ancient Roman amphitheater",Italy,Sunny,Morning,Spring,sightseeing,1220204,Consistent
621,"Neuschwanstein Castle, Fairy-tale castle in the Alps",Germany,Snowy,Morning,Winter,photography,1220204,Consistent
622,"Prague Castle & Charles Bridge, glowing at night.",Czech Republic,Cloudy,Evening,Fall,walking,1220204,Consistent
623,"Santiago Bernab�u Stadium, Iconic stadium of Real Madrid",Spain,Cloudy,Afternoon,Spring,sports_event,1220204,Consistent
624,"Taj Mahal, symbol of love and artistry.",India,Sunny,Morning,Fall,sightseeing,1220204,Consistent
625,"Grand Canyon, nature�s grandeur on display",USA,Sunny,Afternoon,Summer,hiking,1220204,Consistent
626,"Hallstatt, a picturesque winter wonderland.",Austria,Snowy,Morning,Winter,photography,1220204,Consistent
627,"Venice, historic architecture glowing in sunset light.",Italy,Sunny,Evening,Spring,other,1220204,Consistent
